Optical Delay/ps	Raw_Data/a.u.	Processed/a.u.	Baseline/a.u.	Reference/a.u.	Filter/a.u.
-84.9311625774	-0.000104691981591	5.91309293744e-05	0.0	0.00182965523154	-2.06844632177e-10
-84.9042026264	0.000540384574615	5.75146840368e-05	0.0	0.00120359739914	-2.10114018171e-10
-84.8772426753	0.00114782342337	5.58898298727e-05	0.0	0.00117363262491	-2.13433445322e-10
-84.8502827243	-0.000331387095982	5.42563573754e-05	0.0	0.0010673315494	-2.16803652941e-10
-84.8233227732	0.000409935302901	5.26144843776e-05	0.0	0.00137513084709	-2.2022539084e-10
-84.7963628222	0.00150720665499	5.09646429256e-05	0.0	0.00100387966204	-2.23699419474e-10
-84.7694028711	0.000951523788182	4.93074675331e-05	0.0	0.00122205113396	-2.27226510086e-10
-84.7424429201	0.000370443411456	4.76437817294e-05	0.0	0.00100516270463	-2.30807444853e-10
-84.715482969	0.0016292080728	4.5974587747e-05	0.0	0.00105944998492	-2.34443017037e-10
-84.688523018	-0.000245286675047	4.4301052351e-05	0.0	0.00111881905147	-2.3813403113e-10
-84.6615630669	0.00163447679054	4.26244954688e-05	0.0	0.00136982929325	-2.4188130301e-10
-84.6346031159	0.00167001397462	4.09463722345e-05	0.0	0.000937803213161	-2.45685660095e-10
-84.6076431648	0.00192591720001	3.92682644274e-05	0.0	0.000845193604346	-2.49547941496e-10
-84.5806832138	0.00101017300674	3.75918643201e-05	0.0	0.00102801796756	-2.53468998179e-10
-84.5537232627	0.00309333577092	3.59189601202e-05	0.0	0.00142013570409	-2.57449693122e-10
-84.5267633117	0.000693840179554	3.42514223403e-05	0.0	0.00134637686158	-2.61490901477e-10
-84.4998033606	0.0011326868344	3.25911903109e-05	0.0	0.00115647823802	-2.65593510738e-10
-84.4728434096	-0.000628639516616	3.09402578184e-05	0.0	0.00107217462411	-2.69758420903e-10
-84.4458834585	0.000462724871388	2.93006581759e-05	0.0	0.00112953450883	-2.73986544645e-10
-84.4189235075	0.0016865899858	2.76744483549e-05	0.0	0.00139652022994	-2.7827880748e-10
-84.3919635564	0.000780445800356	2.60636946779e-05	0.0	0.000822370901999	-2.82636147943e-10
-84.3650036054	0.00250685824359	2.44704608211e-05	0.0	0.000713874165529	-2.87059517762e-10
-84.3380436543	0.00218787800782	2.28967924578e-05	0.0	0.000926525175261	-2.91549882031e-10
-84.3110837033	-0.000843361497281	2.13447017263e-05	0.0	0.000889619163749	-2.96108219398e-10
-84.2841237522	6.40258152952e-05	1.98161562946e-05	0.0	0.000910773729127	-3.00735522237e-10
-84.2571638012	0.00153462205246	1.83130646103e-05	0.0	0.000664492514187	-3.0543279684e-10
-84.2302038501	0.000517023307062	1.6837262739e-05	0.0	0.00111750996901	-3.10201063599e-10
-84.2032438991	0.000492796738046	1.53905077984e-05	0.0	0.000790187150788	-3.15041357195e-10
-84.176283948	-0.000748643409371	1.39744640952e-05	0.0	0.00104122235278	-3.19954726791e-10
-84.149323997	0.00158459292447	1.25906990803e-05	0.0	0.000909306327448	-3.24942236224e-10
-84.1223640459	0.00135317809258	1.12406728052e-05	0.0	0.000882665746956	-3.30004964202e-10
-84.0954040949	0.00255572739118	9.92573525129e-06	0.0	0.00103293000205	-3.35144004503e-10
-84.0684441438	0.000831902215201	8.64712318028e-06	0.0	0.000644007491409	-3.40360466173e-10
-84.0414841928	0.00180252593911	7.40595946115e-06	0.0	0.000541723769457	-3.45655473732e-10
-84.0145242417	0.000704423258924	6.20325709994e-06	0.0	0.000813168220139	-3.51030167382e-10
-83.9875642907	0.000655800526038	5.03992247383e-06	0.0	0.000981791757883	-3.56485703211e-10
-83.9606043396	0.000686805794155	3.91676015172e-06	0.0	0.00087903076047	-3.62023253408e-10
-83.9336443886	-0.000715858031387	2.83448529626e-06	0.0	0.000451961203141	-3.67644006476e-10
-83.9066844375	0.000753157531105	1.79373403695e-06	0.0	0.000391356603767	-3.73349167447e-10
-83.8797244865	0.00191025357129	7.95077398561e-07	0.0	0.000275055048531	-3.79139958105e-10
-83.8527645354	0.00198413971544	-1.60960813269e-07	0.0	0.000227907543243	-3.85017617206e-10
-83.8258045844	-0.00116647871999	-1.07388574954e-06	0.0	0.000381072180335	-3.90983400702e-10
-83.7988446333	0.000739306009575	-1.94321129898e-06	0.0	0.00048650176035	-3.97038581971e-10
-83.7718846823	0.00235580988765	-2.76844280739e-06	0.0	0.000667877003013	-4.03184452046e-10
-83.7449247312	0.00228595302311	-3.54904969734e-06	0.0	0.00062394902145	-4.09422319852e-10
-83.7179647802	0.00225438625949	-4.28444543646e-06	0.0	0.000476947107266	-4.15753512435e-10
-83.6910048291	0.00169720676342	-4.97396019493e-06	0.0	0.000365456676805	-4.22179375211e-10
-83.6640448781	0.000280200445514	-5.61682407676e-06	0.0	-3.33571427798e-05	-4.28701272201e-10
-83.637084927	0.00188948802639	-6.21214262741e-06	0.0	0.000161435178875	-4.3532058628e-10
-83.610124976	0.001127340912	-6.75887769051e-06	0.0	3.07323449479e-05	-4.42038719425e-10
-83.583165025	0.000890469119507	-7.25582871645e-06	0.0	0.000469035683478	-4.48857092967e-10
-83.5562050739	0.000128380247017	-7.70161765242e-06	0.0	0.000547269984346	-4.55777147843e-10
-83.5292451229	0.00122770095901	-8.0946766663e-06	0.0	0.000190221710514	-4.62800344858e-10
-83.5022851718	0.00202084582335	-8.43323980594e-06	0.0	0.00016755503869	-4.69928164946e-10
-83.4753252208	0.00203289671529	-8.71533762007e-06	0.0	0.00039720697903	-4.77162109429e-10
-83.4483652697	0.00183972575968	-8.93879682817e-06	0.0	0.000172854998482	-4.84503700291e-10
-83.4214053187	0.000497537419595	-9.10124549773e-06	0.0	0.000443432854052	-4.91954480447e-10
-83.3944453676	-0.000878225170084	-9.2001202578e-06	0.0	0.000261373646174	-4.99516014014e-10
-83.3674854166	0.00159010154003	-9.23268090781e-06	0.0	0.000348253978128	-5.07189886596e-10
-83.3405254655	-9.60124679087e-05	-9.19603029916e-06	0.0	6.5486552572e-05	-5.14977705558e-10
-83.3135655145	0.0011172881652	-9.08713927738e-06	0.0	0.000373182807359	-5.22881100314e-10
-83.2866055634	0.00290316009874	-8.90287535143e-06	0.0	0.00013929950916	-5.30901722617e-10
-83.2596456124	0.000639739687866	-8.64003203545e-06	0.0	-0.000237454434984	-5.39041246846e-10
-83.2326856613	0.000282167633499	-8.29537154561e-06	0.0	-0.000409941747817	-5.47301370306e-10
-83.2057257103	0.000101794047372	-7.86566465855e-06	0.0	-0.000517712900117	-5.55683813526e-10
-83.1787657592	0.000953933761741	-7.34773667367e-06	0.0	-0.000341037449286	-5.64190320559e-10
-83.1518058082	0.00290886937054	-6.73851473412e-06	0.0	-0.000190453562276	-5.72822659293e-10
-83.1248458571	0.000826746144543	-6.03507894885e-06	0.0	-0.000122089438714	-5.81582621755e-10
-83.0978859061	0.000164454542586	-5.23471141527e-06	0.0	-0.000162803734503	-5.90472024434e-10
-83.070925955	0.000543699633625	-4.33494966451e-06	0.0	-9.8059296469e-05	-5.99492708589e-10
-83.043966004	0.000323968634322	-3.33363412708e-06	0.0	-0.000338466357163	-6.08646540579e-10
