Optical Delay/ps	Raw_Data/a.u.	Processed/a.u.	Baseline/a.u.	Reference/a.u.	Filter/a.u.
-84.9311625774	0.00155279587752	-0.000126721960979	0.0	0.00182965523154	-2.06844632177e-10
-84.9042026264	0.00251309317175	-0.0001258051634	0.0	0.00120359739914	-2.10114018171e-10
-84.8772426753	0.00206714237347	-0.000124845071647	0.0	0.00117363262491	-2.13433445322e-10
-84.8502827243	0.0013447647144	-0.000123841477844	0.0	0.0010673315494	-2.16803652941e-10
-84.8233227732	0.00183242864858	-0.000122794839717	0.0	0.00137513084709	-2.2022539084e-10
-84.7963628222	0.000190525572349	-0.000121706297249	0.0	0.00100387966204	-2.23699419474e-10
-84.7694028711	0.000801102694222	-0.000120577673983	0.0	0.00122205113396	-2.27226510086e-10
-84.7424429201	0.00162946270968	-0.000119411470737	0.0	0.00100516270463	-2.30807444853e-10
-84.715482969	0.00113907276516	-0.000118210844067	0.0	0.00105944998492	-2.34443017037e-10
-84.688523018	0.00238215264435	-0.000116979579409	0.0	0.00111881905147	-2.3813403113e-10
-84.6615630669	0.00166999673069	-0.00011572205298	0.0	0.00136982929325	-2.4188130301e-10
-84.6346031159	0.00151685257155	-0.000114443183166	0.0	0.000937803213161	-2.45685660095e-10
-84.6076431648	0.00142090758013	-0.000113148375549	0.0	0.000845193604346	-2.49547941496e-10
-84.5806832138	0.000947221310975	-0.000111843458051	0.0	0.00102801796756	-2.53468998179e-10
-84.5537232627	0.00035638595276	-0.000110534615672	0.0	0.00142013570409	-2.57449693122e-10
-84.5267633117	0.00241862787167	-0.000109228315238	0.0	0.00134637686158	-2.61490901477e-10
-84.4998033606	0.00297023139768	-0.000107931228488	0.0	0.00115647823802	-2.65593510738e-10
-84.4728434096	0.000851470874853	-0.000106650153001	0.0	0.00107217462411	-2.69758420903e-10
-84.4458834585	0.00174533744097	-0.00010539193148	0.0	0.00112953450883	-2.73986544645e-10
-84.4189235075	0.000851932553742	-0.000104163368569	0.0	0.00139652022994	-2.7827880748e-10
-84.3919635564	0.000636114885982	-0.000102971151564	0.0	0.000822370901999	-2.82636147943e-10
-84.3650036054	0.000809603090511	-0.000101821777151	0.0	0.000713874165529	-2.87059517762e-10
-84.3380436543	0.00296005904181	-0.000100721476113	0.0	0.000926525175261	-2.91549882031e-10
-84.3110837033	0.00241862361469	-9.96761429381e-05	0.0	0.000889619163749	-2.96108219398e-10
-84.2841237522	0.00108128332894	-9.8691270911e-05	0.0	0.000910773729127	-3.00735522237e-10
-84.2571638012	0.000100872426226	-9.77718949025e-05	0.0	0.000664492514187	-3.0543279684e-10
-84.2302038501	0.000920910630425	-9.69225432545e-05	0.0	0.00111750996901	-3.10201063599e-10
-84.2032438991	0.000781304673395	-9.61471945572e-05	0.0	0.000790187150788	-3.15041357195e-10
-84.176283948	0.00177942799071	-9.5449241194e-05	0.0	0.00104122235278	-3.19954726791e-10
-84.149323997	0.00137975057318	-9.48314620119e-05	0.0	0.000909306327448	-3.24942236224e-10
-84.1223640459	0.0022549867913	-9.42960014904e-05	0.0	0.000882665746956	-3.30004964202e-10
-84.0954040949	0.000634618118549	-9.38443619579e-05	0.0	0.00103293000205	-3.35144004503e-10
-84.0684441438	-0.000136381984142	-9.34774015645e-05	0.0	0.000644007491409	-3.40360466173e-10
-84.0414841928	0.000915756340223	-9.31953417948e-05	0.0	0.000541723769457	-3.45655473732e-10
-84.0145242417	0.00158034265567	-9.29977791165e-05	0.0	0.000813168220139	-3.51030167382e-10
-83.9875642907	0.000581664104895	-9.28837070445e-05	0.0	0.000981791757883	-3.56485703211e-10
-83.9606043396	-0.000142784180272	-9.2851539646e-05	0.0	0.00087903076047	-3.62023253408e-10
-83.9336443886	0.000633590088345	-9.28991488772e-05	0.0	0.000451961203141	-3.67644006476e-10
-83.9066844375	0.00117996485357	-9.30239034501e-05	0.0	0.000391356603767	-3.73349167447e-10
-83.8797244865	0.000341818687676	-9.32227128848e-05	0.0	0.000275055048531	-3.79139958105e-10
-83.8527645354	0.0012672812087	-9.3492071961e-05	0.0	0.000227907543243	-3.85017617206e-10
-83.8258045844	0.000277962262063	-9.38281109977e-05	0.0	0.000381072180335	-3.90983400702e-10
-83.7988446333	0.000858731100138	-9.42266455628e-05	0.0	0.00048650176035	-3.97038581971e-10
-83.7718846823	0.000959353412503	-9.46832354612e-05	0.0	0.000667877003013	-4.03184452046e-10
-83.7449247312	0.00124686094173	-9.5193236159e-05	0.0	0.00062394902145	-4.09422319852e-10
-83.7179647802	-0.000674395603937	-9.57518498944e-05	0.0	0.000476947107266	-4.15753512435e-10
-83.6910048291	0.00238113563145	-9.6354177687e-05	0.0	0.000365456676805	-4.22179375211e-10
-83.6640448781	0.00242235105651	-9.69952707008e-05	0.0	-3.33571427798e-05	-4.28701272201e-10
-83.637084927	-0.000856161827588	-9.76701782933e-05	0.0	0.000161435178875	-4.3532058628e-10
-83.610124976	0.00100124522194	-9.83739939214e-05	0.0	3.07323449479e-05	-4.42038719425e-10
-83.583165025	0.00260080902123	-9.91018957493e-05	0.0	0.000469035683478	-4.48857092967e-10
-83.5562050739	0.000461886483461	-9.98491864016e-05	0.0	0.000547269984346	-4.55777147843e-10
-83.5292451229	0.00122161443246	-0.00010061132471	0.0	0.000190221710514	-4.62800344858e-10
-83.5022851718	0.000480882070366	-0.000101383954787	0.0	0.00016755503869	-4.69928164946e-10
-83.4753252208	0.000585656674989	-0.000102162934606	0.0	0.00039720697903	-4.77162109429e-10
-83.4483652697	-0.000372070034145	-0.000102944352562	0.0	0.000172854998482	-4.84503700291e-10
-83.4214053187	-0.000363958792273	-0.000103724548672	0.0	0.000443432854052	-4.91954480447e-10
-83.3944453676	0.000406326027572	-0.000104500121944	0.0	0.000261373646174	-4.99516014014e-10
-83.3674854166	0.00136577533567	-0.000105267941226	0.0	0.000348253978128	-5.07189886596e-10
-83.3405254655	-0.000598332074504	-0.000106025146202	0.0	6.5486552572e-05	-5.14977705558e-10
-83.3135655145	0.000710034734979	-0.000106769145915	0.0	0.000373182807359	-5.22881100314e-10
-83.2866055634	0.00175064378853	-0.000107497618915	0.0	0.00013929950916	-5.30901722617e-10
-83.2596456124	0.000552193495468	-0.000108208501849	0.0	-0.000237454434984	-5.39041246846e-10
-83.2326856613	-9.78423415934e-05	-0.000108899982903	0.0	-0.000409941747817	-5.47301370306e-10
-83.2057257103	-0.00192246802406	-0.00010957048582	0.0	-0.000517712900117	-5.55683813526e-10
-83.1787657592	-0.00309675973454	-0.000110218652266	0.0	-0.000341037449286	-5.64190320559e-10
-83.1518058082	-0.00130943405468	-0.000110843324868	0.0	-0.000190453562276	-5.72822659293e-10
-83.1248458571	0.000237943502225	-0.00011144353533	0.0	-0.000122089438714	-5.81582621755e-10
-83.0978859061	0.00127342346067	-0.000112018478615	0.0	-0.000162803734503	-5.90472024434e-10
-83.070925955	0.000761349854511	-0.0001125674914	0.0	-9.8059296469e-05	-5.99492708589e-10
-83.043966004	-0.000624199750456	-0.000113090029617	0.0	-0.000338466357163	-6.08646540579e-10
-83.0170060529	-0.00122101469117	-0.000113585647631	0.0	-0.000314313616006	-6.17935412183e-10
-82.9900461019	-3.3426231746e-05	-0.000114053976036	0.0	-0.000285816327471	-6.27361240934e-10
-82.9630861508	6.84530540532e-05	-0.000114494702036	0.0	-0.000269927702073	-6.36925970451e-10
-82.9361261998	0.000687689886987	-0.000114907544629	0.0	-0.000531230103672	-6.46631570776e-10
-82.9091662487	0.00232862034147	-0.000115292237692	0.0	-0.000668346389501	-6.56480038717e-10
-82.8822062977	0.00376103984708	-0.000115648508885	0.0	-0.000569230802368	-6.66473398194e-10
-82.8552463466	0.00342901075156	-0.000115976061739	0.0	-0.000422447719129	-6.76613700592e-10
-82.8282863956	0.00141576177227	-0.000116274563236	0.0	-0.000473820974615	-6.8690302511e-10
-82.8013264445	0.000274101442942	-0.000116543626102	0.0	-0.000475774414881	-6.97343479125e-10
-82.7743664935	0.000358078839359	-0.0001167828009	0.0	-0.000201920995204	-7.07937198555e-10
-82.7474065424	-0.000230633482623	-0.000116991562977	0.0	-0.000641110969682	-7.18686348223e-10
-82.7204465914	-2.02582228135e-05	-0.000117169304217	0.0	-0.000418511545489	-7.29593122236e-10
-82.6934866403	0.000223580060087	-0.00011731533188	0.0	-0.000586911449625	-7.40659744353e-10
-82.6665266893	0.00120606458726	-0.000117428862422	0.0	-0.000769571019916	-7.51888468376e-10
-82.6395667382	0.000903292088382	-0.00011750902416	0.0	-0.000826416821989	-7.63281578527e-10
-82.6126067872	0.000866441641732	-0.000117554858824	0.0	-0.000545233085115	-7.74841389848e-10
-82.5856468361	0.000899083364116	-0.000117565325915	0.0	-0.000677037396915	-7.86570248587e-10
-82.5586868851	0.00200283808546	-0.000117539310903	0.0	-0.000890808150356	-7.98470532605e-10
-82.531726934	0.00157387547759	-0.00011747563597	0.0	-0.000740417297597	-8.1054465178e-10
-82.504766983	0.00258743109084	-0.000117373074307	0.0	-0.000725454152286	-8.22795048413e-10
-82.4778070319	0.00195951870061	-0.000117230363462	0.0	-0.00048846245165	-8.35224197648e-10
-82.4508470809	0.000165340069333	-0.000117046222684	0.0	-0.000594054624566	-8.47834607889e-10
-82.4238871298	-0.000255993707327	-0.000116819370543	0.0	-0.000448222357018	-8.60628821227e-10
-82.3969271788	0.000648840844201	-0.000116548545668	0.0	-0.000752503516571	-8.73609413868e-10
-82.3699672277	0.00112412254011	-0.000116232529599	0.0	-0.0010635764802	-8.86778996568e-10
-82.3430072767	-0.00039467815941	-0.000115870172179	0.0	-0.00132810388702	-9.00140215077e-10
-82.3160473256	-8.73628776885e-05	-0.000115460408711	0.0	-0.00121395928844	-9.13695750581e-10
-82.2890873746	0.000396000875285	-0.000115002284874	0.0	-0.000903013799617	-9.27448320156e-10
-82.2621274235	-0.000761694653567	-0.000114494983347	0.0	-0.000884675248953	-9.41400677223e-10
-82.2351674725	0.000241227070297	-0.000113937842203	0.0	-0.000940723531422	-9.5555561201e-10
-82.2082075214	0.00112422190655	-0.000113330378277	0.0	-0.000854897731189	-9.6991595202e-10
-82.1812475704	-5.40674122375e-05	-0.000112672307745	0.0	-0.00123935988762	-9.84484562504e-10
-82.1542876193	0.000275149012694	-0.000111963562986	0.0	-0.00107797431022	-9.99264346942e-10
-82.1273276683	0.00164020206672	-0.000111204310381	0.0	-0.000974367742395	-1.01425824752e-09
-82.1003677172	0.00105578652594	-0.000110394960292	0.0	-0.00087695695021	-1.02946924564e-09
-82.0734077662	0.000287578241641	-0.000109536178133	0.0	-0.000740339872795	-1.04490036238e-09
-82.0464478151	0.000463552039937	-0.000108628890847	0.0	-0.00064726988267	-1.06055465904e-09
-82.0194878641	0.000726081441376	-0.000107674293216	0.0	-0.000868358369361	-1.07643523762e-09
-81.992527913	0.000929317136131	-0.000106673848579	0.0	-0.000991965176713	-1.09254524134e-09
-81.965567962	0.00109552840004	-0.000105629277946	0.0	-0.00107788806643	-1.10888785515e-09
-81.9386080109	0.000636453459141	-0.000104542558221	0.0	-0.000902425269568	-1.12546630631e-09
-81.9116480599	0.00144017088481	-0.000103415910165	0.0	-0.00101511145398	-1.14228386483e-09
-81.8846881088	0.00140520467783	-0.000102251782314	0.0	-0.000898959675673	-1.1593438441e-09
-81.8577281578	-0.000625458735843	-0.000101052834403	0.0	-0.00106523267596	-1.17664960139e-09
-81.8307682068	-0.000767939393894	-9.98219155472e-05	0.0	-0.00127308045256	-1.19420453838e-09
-81.8038082557	0.000173092078526	-9.85620401371e-05	0.0	-0.00165643594727	-1.21201210178e-09
-81.7768483047	0.00135032682236	-9.72763624111e-05	0.0	-0.00150888185517	-1.23007578385e-09
-81.7498883536	0.00170430747032	-9.59681453993e-05	0.0	-0.00147719691767	-1.24839912297e-09
-81.7229284026	0.00105796852736	-9.46407349447e-05	0.0	-0.00145054302863	-1.26698570425e-09
-81.6959684515	0.0012353967881	-9.32975286337e-05	0.0	-0.00138968883671	-1.28583916009e-09
-81.6690085005	0.0017377011173	-9.19419436075e-05	0.0	-0.00142211292941	-1.30496317077e-09
-81.6420485494	0.000973524261932	-9.05773850461e-05	0.0	-0.00134043838303	-1.32436146507e-09
-81.6150885984	2.46510667059e-05	-8.9207216646e-05	0.0	-0.00118756356918	-1.34403782086e-09
-81.5881286473	0.000513225987882	-8.78347324897e-05	0.0	-0.00111984351521	-1.36399606571e-09
-81.5611686963	0.0012880372707	-8.64631332102e-05	0.0	-0.000899688418817	-1.38424007753e-09
-81.5342087452	0.00157447962356	-8.50954984013e-05	0.0	-0.000917251385922	-1.40477378516e-09
-81.5072487942	0.000855201131146	-8.37347612011e-05	0.0	-0.00102269326865	-1.42560116906e-09
-81.4802888431	0.000157238691513	-8.23836936719e-05	0.0	-0.00118211132589	-1.4467262619e-09
-81.4533288921	0.000393921899368	-8.10448910028e-05	0.0	-0.00129169944102	-1.46815314924e-09
-81.426368941	0.000533445078263	-7.97207611605e-05	0.0	-0.00152502701485	-1.48988597019e-09
-81.39940899	0.000866493214738	-7.84135115995e-05	0.0	-0.00152009044647	-1.51192891805e-09
-81.3724490389	0.000456961831201	-7.71251463088e-05	0.0	-0.00132854239651	-1.534286241e-09
-81.3454890879	-0.000762864150738	-7.58574665994e-05	0.0	-0.00125511692435	-1.55696224278e-09
-81.3185291368	-0.000312451719852	-7.46120704992e-05	0.0	-0.00145272697899	-1.57996128337e-09
-81.2915691858	0.000175354039805	-7.33903612197e-05	0.0	-0.00138358147718	-1.60328777972e-09
-81.2646092347	-0.000367965880418	-7.21935527875e-05	0.0	-0.00149371059303	-1.62694620641e-09
-81.2376492837	-3.76110143325e-05	-7.10226830687e-05	0.0	-0.00155938852306	-1.65094109636e-09
-81.2106893326	0.00125894483348	-6.98786253873e-05	0.0	-0.0015256130632	-1.67527704162e-09
-81.1837293816	0.00134354725757	-6.87621035372e-05	0.0	-0.00163112883581	-1.69995869402e-09
-81.1567694305	0.000385449567786	-6.76737065688e-05	0.0	-0.00167821318855	-1.72499076595e-09
-81.1298094795	0.000588367026619	-6.66139074452e-05	0.0	-0.00158029147018	-1.7503780311e-09
-81.1028495284	0.000835814310401	-6.55830755905e-05	0.0	-0.00162246887638	-1.7761253252e-09
-81.0758895774	0.000372076278457	-6.45814971581e-05	0.0	-0.00165181771787	-1.80223754682e-09
-81.0489296263	0.00113469370117	-6.36093845791e-05	0.0	-0.00184191969296	-1.8287196581e-09
-81.0219696753	0.00271893011533	-6.26668913494e-05	0.0	-0.00193679536041	-1.85557668556e-09
-80.9950097242	0.00169480278085	-6.17541221424e-05	0.0	-0.00158532283799	-1.88281372089e-09
-80.9680497732	0.000236341199618	-6.08711394122e-05	0.0	-0.00181195582088	-1.91043592171e-09
-80.9410898221	0.000604578214559	-6.00179724715e-05	0.0	-0.0019544722584	-1.93844851246e-09
-80.9141298711	0.000679035451872	-5.91946201796e-05	0.0	-0.0021206446896	-1.96685678513e-09
-80.88716992	0.000837296477881	-5.84010448081e-05	0.0	-0.00221212859536	-1.99566610014e-09
-80.860209969	5.92697896652e-05	-5.76371725233e-05	0.0	-0.0018579785794	-2.02488188717e-09
-80.8332500179	-0.00121934627061	-5.69028844445e-05	0.0	-0.00166632905334	-2.05450964599e-09
-80.8062900669	-0.00287376291272	-5.61980087155e-05	0.0	-0.00160524887816	-2.08455494733e-09
-80.7793301158	-0.00324063655199	-5.55223071515e-05	0.0	-0.00162160270615	-2.11502343377e-09
-80.7523701648	-0.00182910109444	-5.487546147e-05	0.0	-0.0015803538575	-2.14592082055e-09
-80.7254102137	-0.000755205806741	-5.42570549737e-05	0.0	-0.00172550185858	-2.17725289652e-09
-80.6984502627	0.000759648796945	-5.36665549045e-05	0.0	-0.00172424705755	-2.209025525e-09
-80.6714903116	0.00210933494968	-5.31032971684e-05	0.0	-0.00171511430893	-2.24124464472e-09
-80.6445303606	0.00117249525072	-5.25664676988e-05	0.0	-0.00183945948067	-2.27391627071e-09
-80.6175704095	-0.000216976994954	-5.20550784018e-05	0.0	-0.00213103698978	-2.3070464952e-09
-80.5906104585	-5.12682758748e-05	-5.15679574623e-05	0.0	-0.00169537830281	-2.34064148865e-09
-80.5636505074	0.000507933169503	-5.11037332765e-05	0.0	-0.00159061514519	-2.37470750059e-09
-80.5366905564	0.00151934078661	-5.06608212072e-05	0.0	-0.00180825600216	-2.40925086066e-09
-80.5097306053	0.00173995807518	-5.02374183697e-05	0.0	-0.00177811086145	-2.44427797952e-09
-80.4827706543	0.00112274745117	-4.98314970806e-05	0.0	-0.0018551889691	-2.4797953499e-09
-80.4558107032	0.000881680128419	-4.94408069598e-05	0.0	-0.00143840953853	-2.51580954753e-09
-80.4288507522	0.00115716336279	-4.90628799879e-05	0.0	-0.00154144839954	-2.55232723215e-09
-80.4018908011	0.00229669986844	-4.86950384998e-05	0.0	-0.0015617173935	-2.58935514858e-09
-80.3749308501	0.00308122620514	-4.83344135128e-05	0.0	-0.00168067567937	-2.62690012767e-09
-80.347970899	-0.000120077636345	-4.79779647684e-05	0.0	-0.00180761776935	-2.6649690874e-09
-80.321010948	-0.000714402667131	-4.76225105843e-05	0.0	-0.00170404003106	-2.7035690339e-09
-80.2940509969	0.00140992860517	-4.72647595444e-05	0.0	-0.00159775923036	-2.74270706251e-09
-80.2670910459	0.001605457716	-4.6901347871e-05	0.0	-0.0017195959305	-2.78239035886e-09
-80.2401310948	0.000807090732687	-4.65288809979e-05	0.0	-0.00157406696005	-2.82262619996e-09
-80.2131711438	0.000715759276693	-4.6143982576e-05	0.0	-0.00163266210449	-2.86342195529e-09
-80.1862111927	0.00123932585653	-4.57433432063e-05	0.0	-0.00174774951796	-2.9047850879e-09
-80.1592512417	0.00156365382901	-4.53237750227e-05	0.0	-0.00173738974261	-2.94672315557e-09
-80.1322912906	0.00122954140948	-4.48822664921e-05	0.0	-0.00166614743913	-2.9892438119e-09
-80.1053313396	0.000917876625421	-4.4416039921e-05	0.0	-0.0015726074787	-3.03235480748e-09
-80.0783713885	0.00126284808705	-4.39226056382e-05	0.0	-0.00183494410736	-3.07606399105e-09
-80.0514114375	0.00169363284189	-4.33998186795e-05	0.0	-0.00172567232521	-3.12037931067e-09
-80.0244514865	0.00172272605823	-4.28459338193e-05	0.0	-0.00194473867658	-3.1653088149e-09
-79.9974915354	0.00148637571068	-4.22596587587e-05	0.0	-0.00199536259685	-3.21086065401e-09
-79.9705315844	0.000857097446064	-4.16401961673e-05	0.0	-0.00190720947467	-3.2570430812e-09
-79.9435716333	0.000444644674643	-4.09872883945e-05	0.0	-0.00198262594557	-3.30386445379e-09
-79.9166116823	0.00170608925486	-4.03012530788e-05	0.0	-0.00215040281125	-3.35133323452e-09
-79.8896517312	0.0026362376234	-3.95830148616e-05	0.0	-0.00214095856885	-3.39945799274e-09
-79.8626917802	0.00288727045322	-3.8834123912e-05	0.0	-0.0021995864433	-3.44824740573e-09
-79.8357318291	0.00223495064919	-3.80567731182e-05	0.0	-0.00216116442852	-3.49771025993e-09
-79.8087718781	0.000786904387182	-3.72538011191e-05	0.0	-0.00197897729413	-3.5478554523e-09
-79.781811927	-8.49669785651e-05	-3.64286900643e-05	0.0	-0.00222009971541	-3.59869199156e-09
-79.754851976	-0.000728110119421	-3.55855526375e-05	0.0	-0.00246466135902	-3.65022899958e-09
-79.7278920249	0.000457109016285	-3.47291122034e-05	0.0	-0.00232449319137	-3.70247571268e-09
-79.7009320739	0.00200425284577	-3.38646718163e-05	0.0	-0.00234188782145	-3.75544148298e-09
-79.6739721228	0.00257668235296	-3.2998072783e-05	0.0	-0.00235149767786	-3.8091357798e-09
-79.6470121718	0.00235848126149	-3.21356478111e-05	0.0	-0.0023803945247	-3.86356819101e-09
-79.6200522207	0.0020432004368	-3.12841615635e-05	0.0	-0.0023719343165	-3.91874842447e-09
-79.5930922697	0.00130959510103	-3.04507504819e-05	0.0	-0.00245173648457	-3.97468630941e-09
-79.5661323186	0.000575989765268	-2.96428537797e-05	0.0	-0.0024860285716	-4.03139179786e-09
-79.5391723676	0.000205529005838	-2.88681371311e-05	0.0	-0.00216020614388	-4.08887496611e-09
-79.5122124165	-0.00014208207087	-2.81344125862e-05	0.0	-0.00219354282188	-4.14714601619e-09
-79.4852524655	0.000930467321988	-2.74495544712e-05	0.0	-0.00254082106424	-4.20621527731e-09
-79.4582925144	0.00225987696886	-2.6821417861e-05	0.0	-0.00274327655156	-4.26609320737e-09
-79.4313325634	0.00104295040061	-2.62577476217e-05	0.0	-0.00319712875298	-4.32679039447e-09
-79.4043726123	-0.000640600292001	-2.57660961899e-05	0.0	-0.00312699231487	-4.38831755846e-09
-79.3774126613	0.000334017426811	-2.53537397169e-05	0.0	-0.00300814815432	-4.45068555242e-09
-79.3504527102	0.00164692046928	-2.50275959959e-05	0.0	-0.00288693016369	-4.51390536431e-09
-79.3234927592	0.00114782112592	-2.4794146094e-05	0.0	-0.00282999647305	-4.57798811847e-09
-79.2965328081	0.000621916799331	-2.46593604924e-05	0.0	-0.00299168611009	-4.64294507724e-09
-79.2695728571	0.00104175892596	-2.46286328037e-05	0.0	-0.00310457064261	-4.70878764258e-09
-79.242612906	0.00159973104029	-2.47067260483e-05	0.0	-0.00336179358412	-4.77552735772e-09
-79.215652955	0.00151897301376	-2.48977168098e-05	0.0	-0.00363907147171	-4.84317590875e-09
-79.1886930039	0.00126501911323	-2.52049531279e-05	0.0	-0.00357953102695	-4.91174512631e-09
-79.1617330529	0.000962094994153	-2.56310210024e-05	0.0	-0.00352789550741	-4.98124698732e-09
-79.1347731018	0.000785469535451	-2.61777180223e-05	0.0	-0.00349499073247	-5.0516936166e-09
-79.1078131508	0.000694040504864	-2.68460434542e-05	0.0	-0.00355289970353	-5.12309728864e-09
-79.0808531997	0.000547646588605	-2.76361957704e-05	0.0	-0.00360775358591	-5.19547042934e-09
-79.0538932487	0.000477416241486	-2.85475714954e-05	0.0	-0.00368273241204	-5.26882561773e-09
-79.0269332976	0.000716378721924	-2.95787836838e-05	0.0	-0.00381632117832	-5.34317558779e-09
-78.9999733466	0.000955341202363	-3.07276853041e-05	0.0	-0.00382385675166	-5.41853323021e-09
-78.9730133955	0.000956031822065	-3.19914036555e-05	0.0	-0.00380856492284	-5.49491159422e-09
-78.9460534445	0.00087176719979	-3.33663819128e-05	0.0	-0.00387816655766	-5.57232388943e-09
-78.9190934934	0.00114763969546	-3.48484270761e-05	0.0	-0.00383278799498	-5.65078348766e-09
-78.8921335424	0.00148464919495	-3.6432763337e-05	0.0	-0.00394336364857	-5.73030392482e-09
-78.8651735913	0.00152259953741	-3.81140925752e-05	0.0	-0.00390480342822	-5.81089890284e-09
-78.8382136403	0.00180317523759	-3.98866592876e-05	0.0	-0.00386176805754	-5.89258229152e-09
-78.8112536892	0.00198564955787	-4.17443204669e-05	0.0	-0.00418538860722	-5.97536813051e-09
-78.7842937382	0.000471089593332	-4.36806109464e-05	0.0	-0.00432886137062	-6.05927063125e-09
-78.7573337871	-0.000571978772656	-4.568881762e-05	0.0	-0.00412753769925	-6.14430417894e-09
